slide_name,slide_width,slide_height,slide_mag,slide_pw
TCGA-44-8119-01Z-00-DX1,54726,25547,39.920159680638726,1021
TCGA-NJ-A55A-01Z-00-DX1,107567,89510,39.57261574990107,1013
TCGA-49-4494-01Z-00-DX4,128538,65620,39.682539682539684,1015
TCGA-55-8621-01Z-00-DX1,36451,35444,39.682539682539684,1015
TCGA-44-5645-01Z-00-DX1,144846,36848,39.682539682539684,1015
TCGA-38-4626-01Z-00-DX1,157316,54702,39.682539682539684,1015
TCGA-50-6591-01Z-00-DX1,145805,81228,39.682539682539684,1015
TCGA-49-4490-01Z-00-DX3,132375,72496,39.682539682539684,1015
TCGA-97-7941-01Z-00-DX1,132328,87938,40.71661237785016,1042
TCGA-97-7938-01Z-00-DX1,97673,76351,40.241448692152915,1030
TCGA-05-4396-01Z-00-DX1,83968,56576,43.01075268817204,1101
TCGA-55-A494-01Z-00-DX1,161153,37485,39.682539682539684,1015
TCGA-55-8616-01Z-00-DX1,48921,35546,39.682539682539684,1015
TCGA-44-7659-01Z-00-DX1,92087,37425,39.682539682539684,1015
TCGA-49-4488-01Z-00-DX4,119905,63011,39.682539682539684,1015
TCGA-55-7903-01Z-00-DX1,28777,28281,39.682539682539684,1015
TCGA-78-8640-01Z-00-DX1,128520,92881,40.71661237785016,1042
TCGA-75-5122-01Z-00-DX1,53969,21895,19.980019980019982,511
TCGA-67-3774-01Z-00-DX1,41831,27912,39.57261574990107,1013
TCGA-44-A4SS-01Z-00-DX1,102816,78813,40.51863857374392,1037
TCGA-55-8513-01Z-00-DX1,56595,43218,39.682539682539684,1015
TCGA-44-2657-01Z-00-DX1,79617,67243,39.682539682539684,1015
TCGA-99-AA5R-01Z-00-DX1,51792,39721,39.603960396039604,1013
TCGA-05-4384-01Z-00-DX1,10000,9419,39.37007874015748,1007
TCGA-MN-A4N5-01Z-00-DX1,99599,92690,39.57261574990107,1013
TCGA-MP-A4T2-01Z-00-DX1,79680,69199,39.603960396039604,1013
TCGA-05-5715-01Z-00-DX1,8320,10000,39.37007874015748,1007
TCGA-78-7159-01Z-00-DX1,131416,77051,39.682539682539684,1015
TCGA-49-4501-01Z-00-DX3,158275,62820,39.682539682539684,1015
TCGA-49-6745-01Z-00-DX6,124701,78518,39.682539682539684,1015
TCGA-05-4403-01Z-00-DX1,90624,85248,43.01075268817204,1101
TCGA-55-8507-01Z-00-DX1,76739,64689,39.682539682539684,1015
TCGA-44-6144-01Z-00-DX1,84413,42180,39.682539682539684,1015
TCGA-55-7914-01Z-00-DX1,30695,29061,39.682539682539684,1015
TCGA-67-3771-01Z-00-DX1,153383,47756,39.57261574990107,1013
TCGA-91-A4BC-01Z-00-DX1,41888,34250,40.71661237785016,1042
TCGA-64-1677-01Z-00-DX1,83663,63694,39.57261574990107,1013
TCGA-86-A4D0-01Z-00-DX1,105672,72550,40.51863857374392,1037
TCGA-64-5775-01Z-00-DX1,61751,60391,39.57261574990107,1013
TCGA-97-8175-01Z-00-DX1,132328,85460,40.71661237785016,1042
TCGA-64-5779-01Z-00-DX1,97607,66849,39.57261574990107,1013
TCGA-05-4420-01Z-00-DX1,40704,95488,43.01075268817204,1101
TCGA-75-6206-01Z-00-DX1,15991,18986,19.980019980019982,511
TCGA-53-A4EZ-01Z-00-DX1,137088,90697,40.51863857374392,1037
TCGA-44-7669-01Z-00-DX1,37410,63853,39.682539682539684,1015
TCGA-49-4488-01Z-00-DX10,117987,84550,39.682539682539684,1015
TCGA-MP-A4TE-01Z-00-DX1,129480,71391,39.603960396039604,1013
TCGA-97-A4M1-01Z-00-DX1,100546,58733,40.241448692152915,1030
TCGA-49-4494-01Z-00-DX5,156357,77768,39.682539682539684,1015
TCGA-73-4668-01Z-00-DX1,103598,69724,39.682539682539684,1015
TCGA-MP-A4TH-01Z-00-DX1,107568,72635,39.603960396039604,1013
TCGA-53-7813-01Z-00-DX1,57554,65033,39.682539682539684,1015
TCGA-55-8511-01Z-00-DX1,47962,31231,39.682539682539684,1015
TCGA-55-8092-01Z-00-DX1,32614,22481,39.682539682539684,1015
TCGA-NJ-A55O-01Z-00-DX1,139439,86460,39.57261574990107,1013
TCGA-86-A4P8-01Z-00-DX1,63784,53264,40.56795131845842,1038
TCGA-44-3917-01Z-00-DX1,116068,22913,39.682539682539684,1015
TCGA-75-7030-01Z-00-DX1,65963,27980,19.980019980019982,511
TCGA-55-8619-01Z-00-DX1,62350,58738,39.682539682539684,1015
TCGA-73-4658-01Z-00-DX1,174582,75890,39.682539682539684,1015
TCGA-86-8278-01Z-00-DX1,101680,73764,39.682539682539684,1015
TCGA-95-7562-01Z-00-DX1,91264,79360,44.150110375275936,1130
TCGA-49-6745-01Z-00-DX7,104557,84439,39.682539682539684,1015
TCGA-86-8585-01Z-00-DX1,93046,86120,39.682539682539684,1015
TCGA-50-5045-01Z-00-DX2,115536,67987,39.603960396039604,1013
TCGA-73-4677-01Z-00-DX1,114150,60176,39.682539682539684,1015
TCGA-05-4382-01Z-00-DX1,46336,43776,43.01075268817204,1101
TCGA-86-A4P7-01Z-00-DX1,66639,74425,40.32258064516129,1032
TCGA-44-7671-01Z-00-DX1,102639,29145,39.682539682539684,1015
TCGA-55-7284-01Z-00-DX1,82495,54590,39.682539682539684,1015
TCGA-97-A4M7-01Z-00-DX2,111080,88768,40.241448692152915,1030
TCGA-35-4122-01Z-00-DX1,159234,70182,39.682539682539684,1015
TCGA-86-8359-01Z-00-DX1,132375,86446,39.682539682539684,1015
TCGA-49-6745-01Z-00-DX3,156357,84109,39.682539682539684,1015
